小韻號,母,呼,等,重紐,韻,聲,反切
722,從,開,一,,歌,平,昨何
723,疑,開,一,,歌,平,五何
724,透,開,一,,歌,平,託何
725,來,開,一,,歌,平,魯何
726,泥,開,一,,歌,平,諾何
727,匣,開,一,,歌,平,胡歌
728,曉,開,一,,歌,平,虎何
729,溪,開,一,,歌,平,苦何
730,影,開,一,,歌,平,烏何
731,見,合,一,,歌,平,古禾
732,清,合,一,,歌,平,七戈
733,端,合,一,,歌,平,丁戈
734,心,合,一,,歌,平,蘇禾
735,並,,一,,歌,平,薄波
736,定,合,一,,歌,平,徒和
737,明,,一,,歌,平,莫婆
738,從,合,一,,歌,平,昨禾
739,疑,合,一,,歌,平,五禾
740,透,合,一,,歌,平,土禾
741,來,合,一,,歌,平,落戈
742,泥,合,一,,歌,平,奴禾
743,幫,,一,,歌,平,博禾
744,滂,,一,,歌,平,滂禾
745,匣,合,一,,歌,平,戶戈
746,溪,合,一,,歌,平,苦禾
747,影,合,一,,歌,平,烏禾
748,曉,合,三,,歌,平,許𦚢
749,影,合,三,,歌,平,於靴
750,溪,合,三,,歌,平,去靴
751,羣,開,三,,歌,平,求迦
752,溪,開,三,,歌,平,丘伽
753,見,開,三,,歌,平,居伽
754,清,合,三,,歌,平,醋伽
755,精,合,三,,歌,平,子𩨷
756,羣,合,三,,歌,平,巨靴
757,來,合,三,,歌,平,縷𩨷
758,明,,二,,麻,平,莫霞
759,昌,開,三,,麻,平,尺遮
