小韻號,最簡描述,字頭,反切,切韻拼音
671,幫A宵平,飆,甫遙,piew
672,幫B宵平,鑣,甫嬌,pyew
673,並A宵平,瓢,符霄,biew
674,明A宵平,蜱,彌遙,miew
675,明B宵平,苗,武瀌,myew
676,影A宵平,要,於霄,qiew
677,云宵平,鴞,于嬌,yew
678,羣B宵平,喬,巨嬌,gyew
679,清宵平,鍫,七遙,tshiew
680,影B宵平,妖,於喬,qyew
681,溪A宵平,蹻,去遙,khiew
682,昌宵平,怊,尺招,tjhiew
683,滂A宵平,𤐫,撫招,phiew
684,羣A宵平,翹,渠遙,giew
685,來宵平,燎,力昭,liew
686,溪B宵平,趫,起囂,khyew
687,匣肴平,肴,胡茅,ghaew
688,見肴平,交,古肴,kaew
689,崇肴平,巢,鉏交,dzraew
690,孃肴平,鐃,女交,nraew
691,生肴平,梢,所交,sraew
692,明肴平,茅,莫交,maew
693,曉肴平,虓,許交,haew
694,幫肴平,包,布交,paew
695,滂肴平,胞,匹交,phaew
696,溪肴平,敲,口交,khaew
697,疑肴平,聱,五交,ngaew
698,莊肴平,𦗔,側交,tsraew
699,知肴平,嘲,陟交,traew
700,初肴平,䜈,楚交,tsrhaew
701,並肴平,庖,薄交,baew
702,影肴平,䫜,於交,qaew
703,徹肴平,䫸,敕交,trhaew
704,來肴平,顟,力嘲,laew
705,澄肴平,䄻,直交,draew
706,匣豪平,豪,胡刀,ghaw
707,見豪平,高,古勞,kaw
708,來豪平,勞,魯刀,law
709,曉豪平,蒿,呼毛,haw
710,明豪平,毛,莫袍,maw
711,透豪平,饕,土刀,thaw
712,端豪平,刀,都牢,taw
713,心豪平,騷,蘇遭,saw
714,並豪平,袍,薄襃,baw
715,幫豪平,襃,博毛,paw
716,定豪平,陶,徒刀,daw
717,精豪平,糟,作曹,tsaw
718,疑豪平,敖,五勞,ngaw
719,從豪平,曹,昨勞,dzaw
720,影豪平,𤏶,於刀,qaw
721,泥豪平,猱,奴刀,naw
722,溪豪平,尻,苦刀,khaw
723,清豪平,操,七刀,tshaw
724,滂豪平,㯱,普袍,phaw
725,見開一歌平,歌,古俄,ka
726,清開一歌平,蹉,七何,tsha
727,端開一歌平,多,得何,ta
728,心開一歌平,娑,素何,sa
729,定開一歌平,駝,徒河,da
730,從開一歌平,醝,昨何,dza
731,疑開一歌平,莪,五何,nga
732,透開一歌平,佗,託何,tha
733,來開一歌平,羅,魯何,la
734,泥開一歌平,那,諾何,na
735,匣開一歌平,何,胡歌,gha
736,曉開一歌平,訶,虎何,ha
737,溪開一歌平,珂,苦何,kha
738,影開一歌平,阿,烏何,qa
739,見合一歌平,戈,古禾,kwa
740,清合一歌平,遳,七戈,tshwa
