小韻號	首字	反切	音韻地位	細分轄字
532	歡	呼官	曉合一寒平	
533	寬	苦官	溪合一寒平	
534	鑽	借官	精合一寒平	
535	槃	薄官	並一寒平	
536	瞞	母官	明一寒平	
537	潘	普官	滂一寒平	
538	𤳖	北潘	幫一寒平	
539	刪	所姦	生開二刪平	
540	關	古還	見合二刪平	
541	彎	烏關	影合二刪平	
542	𣟴	數還	生合二刪平	
543	還	戶關	匣合二刪平	
544	班	布還	幫二刪平	
545	蠻	莫還	明二刪平	
546	顏	五姦	疑開二刪平	
547	姦	古顏	見開二刪平	
548	攀	普班	滂二刪平	
549	奻	奴還	孃合二刪平	
550	𤸷	五還	疑合二刪平	
551	馯	丘姦	溪開二刪平	
552	豻	可顏	溪開二刪平	
553	跧	阻頑	莊合二刪平	
554	山	所閒	生開二山平	
555	鰥	古頑	見合二山平	
556	閒	古閑	見開二山平	
557	閑	戶閒	匣開二山平	
558	慳	苦閑	溪開二山平	
559	虥	士山	崇開二山平	
560	羴	許閒	曉開二山平	
561	訮	五閑	疑開二山平	
562	黰	烏閑	影開二山平	
563	斒	方閑	幫二山平	
564	斕	力閑	來開二山平	
565	嘫	女閑	孃開二山平	
566	㺗	充山	昌開三仙平	
567	𡣬	委鰥	影合二山平	
568	窀	墜頑	澄合二山平	
569	𡰠	力頑〈規〉	來合三支平	
570	𡰝	跪頑	羣合三B仙平	
571	譠	陟山	知開二山平	
572	𤣆	直閑	澄開二山平	
573	湲	獲頑	匣合二山平	
574	虥	昨閑	崇開二山平	
575	先	蘇前	心開四先平	
576	前	昨先	從開四先平	
577	千	蒼先	清開四先平	
578	箋	則前	精開四先平	
579	天	他前	透開四先平	
580	堅	古賢	見開四先平	
581	賢	胡田	匣開四先平	
582	煙	烏前	影開四先平	
583	蓮	落賢	來開四先平	
584	田	徒年	定開四先平	
585	秊	奴顛	泥開四先平	
586	顛	都年	端開四先平	
587	牽	苦堅	溪開四先平	
588	妍	五堅	疑開四先平	
589	眠	莫賢	明四先平	
590	蹁	部田	並四先平	
591	淵	烏玄	影合四先平	
592	涓	古玄	見合四先平	
593	鋗	火玄	曉合四先平	
594	邊	布玄	幫四先平	
595	玄	胡涓	匣合四先平	
596	祆	呼煙	曉開四先平	
597	𤜼	崇〈？〉玄〈？〉	章開三陽入	
598	仙	相然	心開三仙平	
599	錢	昨仙	從開三仙平	
600	遷	七然	清開三仙平	
601	煎	子仙	精開三仙平	
602	然	如延	日開三仙平	
603	延	以然	以開三仙平	
604	𩜾	諸延	章開三仙平	
605	甄	居延	見開三A仙平	
606	邅	張連	知開三仙平	
607	潺	士連	崇開三仙平	
608	羶	式連	書開三仙平	
609	脠	丑延	徹開三仙平	
610	鋋	市連	常開三仙平	
611	纏	直連	澄開三仙平	
612	嘕	許延	曉開三B仙平	
613	連	力延	來開三仙平	
614	篇	芳連	滂三A仙平	
615	便	房連	並三A仙平	
616	緜	武延	明三A仙平	
617	全	疾緣	從合三仙平	
618	宣	須緣	心合三仙平	
619	鐫	子泉	精合三仙平	
620	翾	許緣	曉合三A仙平	
621	堧	而緣	日合三仙平	
622	穿	昌緣	昌合三仙平	
623	沿	與專	以合三仙平	
624	旋	似宣	邪合三仙平	
625	娟	於緣	影合三A仙平	
626	船	食川	船合三仙平	
627	鞭	卑連	幫三A仙平	
628	㳄	夕連	邪開三仙平	
629	詮	此緣	清合三仙平	
630	專	職緣	章合三仙平	
631	遄	市緣	常合三仙平	
632	員	王權	云合三B仙平	
633	恮	莊緣	莊合三仙平	
634	栓	山員	生合三仙平	
635	猭	丑緣	徹合三仙平	
636	乾	渠焉	羣開三B仙平	
637	愆	去乾	溪開三B仙平	
638	權	巨員	羣合三B仙平	
639	椽	直攣	澄合三仙平	
640	攣	呂員	來合三仙平	
641	弮	丘圓	溪合三B仙平	
642	焉	於乾	影開三B仙平	
643	漹	有乾	云開三B仙平	
644	𡣬	於權	影合三B仙平	
645	燀	尺延	昌開三仙平	
646	𡰖	丁全〈兮〉	端開四齊平	
647	勬	居員	見合三B仙平	
648	蕭	蘇彫	心開四蕭平	
649	祧	吐彫	透開四蕭平	
650	貂	都聊	端開四蕭平	
651	迢	徒聊	定開四蕭平	
652	驍	古堯	見開四蕭平	
653	聊	落蕭	來開四蕭平	
654	堯	五聊	疑開四蕭平	
655	膮	許幺	曉開四蕭平	
656	幺	於堯	影開四蕭平	
657	鄡	苦幺	溪開四蕭平	
658	宵	相邀	心開三宵平	
659	超	敕宵	徹開三宵平	
660	朝	陟遙	知開三宵平	
661	鼂	直遙	澄開三宵平	
662	囂	許嬌	曉開三B宵平	
663	樵	昨焦	從開三宵平	
664	驕	舉喬	見開三B宵平	
665	焦	即消	精開三宵平	
666	饒	如招	日開三宵平	
667	燒	式招	書開三宵平	
668	遙	餘昭	以開三宵平	
669	韶	市昭	常開三宵平	
670	昭	止遙	章開三宵平	
671	飆	甫遙	幫三A宵平	
672	鑣	甫嬌	幫三B宵平	
673	瓢	符霄	並三A宵平	
674	蜱	彌遙	明三A宵平	
675	苗	武瀌	明三B宵平	
676	要	於霄	影開三A宵平	
677	鴞	于嬌	云開三B宵平	
678	喬	巨嬌	羣開三B宵平	
679	鍫	七遙	清開三宵平	
680	妖	於喬	影開三B宵平	
681	蹻	去遙	溪開三A宵平	
682	怊	尺招	昌開三宵平	
683	𤐫	撫招	滂三A宵平	
684	翹	渠遙	羣開三A宵平	
685	燎	力昭	來開三宵平	
686	趫	起囂	溪開三B宵平	
687	肴	胡茅	匣開二肴平	
